experiment_id,sim_id,temp,hum,water_capacity,toilet_capacity,average_time,water_station_counter,energy_station_counter,bathroom_station_counter,medical_station_counter
0,0,L,L,50,37,162.85873796943335,1293,108,496,12
1,0,L,L,75,37,163.01583479694148,1271,116,519,17
2,0,L,H,50,25,164.10699803711017,1289,137,517,15
3,0,L,H,75,25,163.99023755270923,1281,132,502,20
4,0,H,L,50,25,167.166540701221,1286,117,515,17
5,0,H,L,75,25,167.24658631956225,1291,110,523,13
6,0,H,H,50,37,168.06168405873905,1257,109,503,12
7,0,H,H,75,37,167.9973348345546,1282,114,530,14
0,1,L,L,50,37,163.00658087689308,1291,121,519,10
1,1,L,L,75,37,163.2963237449426,1280,119,502,13
2,1,L,H,50,25,164.0285330034315,1295,126,476,18
3,1,L,H,75,25,163.96351763979223,1294,118,500,9
4,1,H,L,50,25,166.97359941165885,1248,124,532,9
5,1,H,L,75,25,167.06518573905424,1254,113,483,10
6,1,H,H,50,37,168.02104293873796,1215,109,515,17
7,1,H,H,75,37,167.91732591852428,1254,137,512,9
0,2,L,L,50,37,163.18051474735756,1269,101,461,9
1,2,L,L,75,37,162.90130408802605,1285,106,498,12
2,2,L,H,50,25,164.1215660622712,1248,126,473,10
3,2,L,H,75,25,164.20756506099872,1295,106,496,15
4,2,H,L,50,25,166.82341597280617,1270,124,487,8
5,2,H,L,75,25,166.90294380988556,1298,140,502,15
6,2,H,H,50,37,168.00280028164227,1244,111,494,17
7,2,H,H,75,37,167.9963838308392,1255,129,477,18
0,3,L,L,50,37,163.00240980940356,1275,106,513,13
1,3,L,L,75,37,163.02152444991992,1288,109,511,11
2,3,L,H,50,25,164.0788721144101,1289,130,507,11
3,3,L,H,75,25,163.79908958062887,1290,123,504,12
4,3,H,L,50,25,167.19969594073802,1277,115,483,10
5,3,H,L,75,25,166.91643689484295,1270,116,512,11
6,3,H,H,50,37,167.83227648467405,1263,118,461,18
7,3,H,H,75,37,168.09184238044213,1298,108,510,9
0,4,L,L,50,37,163.05676646095955,1289,108,494,6
1,4,L,L,75,37,162.97280218216392,1247,133,482,9
2,4,L,H,50,25,163.9648880041735,1290,114,480,16
3,4,L,H,75,25,163.75020743956023,1283,135,534,13
4,4,H,L,50,25,166.79629415206148,1261,102,495,17
5,4,H,L,75,25,167.1127218561021,1296,121,505,19
6,4,H,H,50,37,168.14954496403908,1273,114,505,14
7,4,H,H,75,37,167.92160030295145,1295,124,502,9
0,5,L,L,50,37,163.1051132846039,1292,136,540,12
1,5,L,L,75,37,163.04066373867352,1259,93,485,18
2,5,L,H,50,25,163.99630255766044,1277,128,484,19
3,5,L,H,75,25,163.91620736236172,1300,111,480,15
4,5,H,L,50,25,167.1612074039515,1245,114,495,21
5,5,H,L,75,25,166.9328976374011,1280,107,506,18
6,5,H,H,50,37,167.74802094173182,1318,120,501,16
7,5,H,H,75,37,168.09913066327053,1296,105,501,17
0,6,L,L,50,37,163.21547888353842,1251,122,500,17
1,6,L,L,75,37,163.0985848238584,1246,134,465,23
2,6,L,H,50,25,163.89737061335708,1263,104,499,14
3,6,L,H,75,25,164.08879170215445,1244,128,502,9
4,6,H,L,50,25,166.977073616197,1287,116,527,11
5,6,H,L,75,25,166.94522907198572,1256,122,494,18
6,6,H,H,50,37,168.0001116291374,1274,129,511,11
7,6,H,H,75,37,167.9944266324463,1277,138,514,12
0,7,L,L,50,37,162.8709498625808,1258,136,495,18
1,7,L,L,75,37,162.81823867763174,1269,101,499,8
2,7,L,H,50,25,164.23145419429292,1287,130,534,12
3,7,L,H,75,25,163.90289480297213,1303,104,544,10
4,7,H,L,50,25,167.09494709411504,1273,116,502,10
5,7,H,L,75,25,166.85821302569315,1310,122,526,14
6,7,H,H,50,37,168.13235448683392,1278,144,539,11
7,7,H,H,75,37,167.92035716608575,1260,116,516,20
0,8,L,L,50,37,162.91021400947963,1248,117,529,16
1,8,L,L,75,37,162.99855063831785,1285,97,526,21
2,8,L,H,50,25,164.20177610004018,1283,117,473,14
3,8,L,H,75,25,164.14433332469233,1262,138,507,18
4,8,H,L,50,25,167.12201506019673,1250,107,487,14
5,8,H,L,75,25,166.92428451998953,1271,129,554,10
6,8,H,H,50,37,167.65635920784462,1283,115,496,11
7,8,H,H,75,37,167.9996220753506,1252,120,494,15
0,9,L,L,50,37,162.85542199787594,1278,100,524,13
1,9,L,L,75,37,163.10565705638095,1203,118,503,12
2,9,L,H,50,25,164.12799928478896,1248,134,505,6
3,9,L,H,75,25,163.9977296481002,1278,123,487,13
4,9,H,L,50,25,166.73798075950882,1252,90,501,12
5,9,H,L,75,25,166.60973244390183,1267,130,505,15
6,9,H,H,50,37,168.090162451737,1277,115,504,13
7,9,H,H,75,37,167.7967198823841,1309,102,526,10
